Identifiant,Âge,Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Années d'expérience,Possession de biens,Région,Type de contrat,Langue maternelle,Revenu annuel (DH),Âge doublé,Revenu approximatif,Code aléatoire
32824,20,Homme,,,Rural,Groupe 1,11,Logement,Casablanca-Settat,CDI,,,40,,Z789
16299,24,Femme,,,Urbain,Groupe 5,48,Voiture,Laâyoune-Sakia El Hamra,sans contrat,,,48,,Y456
28506,28,Homme,,,Urbain,Groupe 4,45,Aucun,Fès-Meknès,CDI,,,56,,X123
6690,40,Homme,,,Rural,Groupe 6,48,Aucun,Guelmim-Oued Noun,sans contrat,,,80,,W000
26894,67,Femme,,,Urbain,Groupe 3,3,Terrain,L’Oriental,CDD,,,134,,Y456
36573,60,Homme,,,Rural,Groupe 2,34,Logement,Guelmim-Oued Noun,CDI,,,120,,Z789
12336,26,Homme,,,Urbain,Groupe 1,23,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,52,,W000
29592,68,Femme,,,Urbain,Groupe 5,3,Terrain,Dakhla-Oued Ed-Dahab,CDD,,,136,,W000
18949,36,Homme,,,Urbain,Groupe 4,6,Logement,Rabat-Salé-Kénitra,sans contrat,,,72,,X123
31068,56,Femme,,,Urbain,Groupe 6,13,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,,,112,,X123
22242,55,Femme,,,Rural,Groupe 5,37,Aucun,Fès-Meknès,CDI,,,110,,Y456
13788,45,Homme,,,Urbain,Groupe 6,37,Logement,Casablanca-Settat,CDD,,,90,,Z789
5129,27,Homme,,,Rural,Groupe 1,5,Voiture,Béni Mellal-Khénifra,sans contrat,,,54,,W000
9126,29,Femme,,,Rural,Groupe 2,33,Logement,Marrakech-Safi,CDD,,,58,,X123
35042,20,Femme,,,Urbain,Groupe 4,31,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,,,40,,Z789
3511,19,Homme,,,Urbain,Groupe 4,37,Terrain,Béni Mellal-Khénifra,CDI,,,38,,W000
16442,32,Homme,,,Urbain,Groupe 5,28,Voiture,Souss-Massa,sans contrat,,,64,,Z789
