Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,Urbain/Rural,Catégorie socioprofessionnelle,Langue maternelle,État matrimonial_divorcé,État matrimonial_marié,État matrimonial_veuf,Possession de biens_Logement,Possession de biens_Terrain,Possession de biens_Voiture,Région_Casablanca-Settat,Région_Dakhla-Oued Ed-Dahab,Région_Drâa-Tafilalet,Région_Fès-Meknès,Région_Guelmim-Oued Noun,Région_Laâyoune-Sakia El Hamra,Région_L’Oriental,Région_Marrakech-Safi,Région_Rabat-Salé-Kénitra,Région_Souss-Massa,Région_Tanger-Tétouan-Al Hoceïma,Type de contrat_CDI,Type de contrat_sans contrat
46.0,34.0,53450.0,0,1,1,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29.0,48.0,22200.0,1,3,0,3,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
49.0,34.0,14140.0,1,1,1,5,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
69.0,26.0,22194.0,1,2,1,3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
64.0,37.0,29147.0,1,2,1,3,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
53.0,43.0,10392.0,0,0,0,5,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
52.0,47.0,76983.0,1,2,1,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
19.0,16.0,8926.0,0,1,0,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
36.0,46.0,45175.0,0,0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26.0,21.0,9367.0,0,1,0,4,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25.0,48.0,10872.0,1,0,0,5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
46.0,39.0,23439.0,1,2,1,4,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
